Time,DistanceX,DistanceY,rnti,sinr
10.8,-245.251,-247.603,2,23.03
10.8,-249.237,-251.641,3,23.02
10.9,-251.665,-240.11,1,23.4
10.9,-245.54,-247.489,2,23.03
10.9,-249.356,-251.39,3,23.02
11.0,-251.369,-240.0,1,23.4
11.0,-245.829,-247.375,2,23.03
11.0,-249.594,-251.26,3,23.02
11.1,-251.073,-239.922,1,23.4
11.1,-246.075,-247.439,2,23.03
11.1,-249.987,-251.287,3,23.02
11.2,-250.777,-239.845,1,23.4
11.2,-246.264,-247.743,2,23.03
11.2,-250.379,-251.313,3,23.02
11.3,-250.516,-239.841,1,23.4
11.3,-246.452,-248.046,2,23.03
11.3,-250.647,-251.144,3,23.02
11.4,-250.411,-240.163,1,23.4
11.4,-246.387,-248.284,2,23.03
11.4,-250.901,-250.952,3,23.02
11.5,-250.306,-240.486,1,23.4
11.5,-246.172,-248.483,2,23.03
11.5,-251.155,-250.76,3,23.02
11.6,-250.273,-240.697,1,23.4
11.6,-245.958,-248.682,2,23.03
11.6,-251.072,-250.667,3,23.02
11.7,-250.472,-240.55,1,23.4
11.7,-245.76,-248.804,2,23.03
11.7,-250.877,-250.608,3,23.02
11.8,-250.671,-240.403,1,23.4
11.8,-245.625,-248.637,2,23.03
11.8,-250.683,-250.548,3,23.02
11.9,-250.87,-240.255,1,23.4
11.9,-245.489,-248.47,2,23.03
11.9,-250.488,-250.489,3,23.02
12.0,-250.976,-240.173,1,23.4
12.0,-245.353,-248.303,2,23.03
12.0,-250.294,-250.429,3,23.02
12.1,-250.7,-240.36,1,23.4
12.1,-245.218,-248.136,2,23.03
12.1,-250.256,-250.232,3,23.02
12.2,-250.424,-240.546,1,23.4
12.2,-245.052,-248.237,2,23.03
12.2,-250.249,-250.008,3,23.02
12.3,-250.2,-240.735,1,23.4
12.3,-244.862,-248.544,2,23.03
12.3,-250.242,-249.784,3,23.02
12.4,-250.195,-240.936,1,23.4
12.4,-244.673,-248.852,2,23.03
12.4,-250.236,-249.56,3,23.02
12.5,-250.19,-241.137,1,23.4
12.5,-244.557,-248.733,2,23.03
12.5,-250.095,-249.409,3,23.02
12.6,-250.185,-241.338,1,23.4
12.6,-244.46,-248.505,2,23.03
12.6,-249.729,-249.38,3,23.02
12.7,-250.18,-241.539,1,23.4
12.7,-244.363,-248.277,2,23.03
12.7,-249.363,-249.351,3,23.02
12.8,-250.134,-241.732,1,23.4
12.8,-244.265,-248.049,2,23.03
12.8,-249.201,-249.148,3,23.02
12.9,-249.94,-241.9,1,23.4
12.9,-244.405,-247.916,2,23.03
12.9,-249.149,-248.85,3,23.02
13.0,-249.747,-242.069,1,23.4
13.0,-244.618,-247.813,2,23.03
13.0,-249.097,-248.552,3,23.02
13.1,-249.553,-242.237,1,23.4
13.1,-244.831,-247.71,2,23.03
13.1,-248.962,-248.345,3,23.02
13.2,-249.457,-242.415,1,23.4
13.2,-245.044,-247.607,2,23.03
13.2,-248.669,-248.313,3,23.02
13.3,-249.575,-242.614,1,23.4
13.3,-245.011,-247.594,2,23.03
13.3,-248.375,-248.281,3,23.02
13.4,-249.692,-242.813,1,23.4
13.4,-244.766,-247.658,2,23.03
13.4,-248.082,-248.249,3,23.02
13.5,-249.81,-243.012,1,23.4
13.5,-244.52,-247.723,2,23.03
13.5,-248.232,-248.473,3,23.02
13.6,-249.927,-243.211,1,23.4
13.6,-244.275,-247.788,2,23.03
13.6,-248.404,-248.709,3,23.02
13.7,-250.205,-243.189,1,23.4
13.7,-243.986,-247.844,2,23.03
13.7,-248.575,-248.944,3,23.02
13.8,-250.485,-243.164,1,23.4
13.8,-243.668,-247.895,2,23.03
13.8,-248.718,-248.919,3,23.02
13.9,-250.765,-243.139,1,23.4
13.9,-243.349,-247.946,2,23.03
13.9,-248.837,-248.656,3,23.02
14.0,-250.994,-243.073,1,23.4
14.0,-243.219,-247.868,2,23.03
14.0,-248.955,-248.393,3,23.02
14.1,-251.155,-242.952,1,23.4
14.1,-243.282,-247.657,2,23.03
14.1,-249.062,-248.164,3,23.02
14.2,-251.316,-242.832,1,23.4
14.2,-243.345,-247.446,2,23.03
14.2,-248.985,-248.506,3,23.02
14.3,-251.477,-242.711,1,23.4
14.3,-243.408,-247.235,2,23.03
14.3,-248.907,-248.848,3,23.02
14.4,-251.639,-242.59,1,23.4
14.4,-243.47,-247.024,2,23.03
14.4,-248.828,-249.179,3,23.02
14.5,-251.763,-242.376,1,23.4
14.5,-243.523,-247.204,2,23.03
14.5,-248.74,-249.466,3,23.02
