Time	UE Id	DistanceX	DistanceY
9.6	1	-144.238	-28.8417
9.6	2	-170.888	-40.2074
9.7	0	-101.73	-43.2576
9.7	1	-144.103	-28.4927
9.7	2	-170.737	-40.397
9.8	0	-101.809	-42.9958
9.8	1	-144.053	-28.2165
9.8	2	-170.586	-40.5865
9.9	0	-102.124	-42.7696
9.9	1	-144.4	-28.2765
9.9	2	-170.434	-40.7761
10	0	-102.439	-42.5433
10	1	-144.747	-28.3365
10	2	-170.225	-40.9336
10.1	0	-102.62	-42.2564
10.1	1	-144.884	-28.3271
10.1	2	-169.85	-41.0002
10.2	0	-102.641	-41.8962
10.2	1	-144.607	-28.1814
10.2	2	-169.476	-41.0668
10.3	0	-102.661	-41.536
10.3	1	-144.331	-28.0356
10.3	2	-169.277	-40.9263
10.4	0	-102.612	-41.2132
10.4	1	-144.13	-27.9007
10.4	2	-169.182	-40.6648
10.5	0	-102.531	-40.9081
10.5	1	-144.409	-27.8337
10.5	2	-169.086	-40.4033
10.6	0	-102.45	-40.6029
10.6	1	-144.687	-27.7668
10.6	2	-168.999	-40.1422
10.7	0	-102.258	-40.3841
10.7	1	-144.966	-27.6999
10.7	2	-169.118	-39.8915
10.8	0	-101.962	-40.247
10.8	1	-145.251	-27.6026
10.8	2	-169.237	-39.6408
10.9	0	-101.665	-40.1099
10.9	1	-145.54	-27.4885
10.9	2	-169.356	-39.3901
11	0	-101.369	-39.9998
11	1	-145.829	-27.3745
11	2	-169.594	-39.2603
11.1	0	-101.073	-39.9222
11.1	1	-146.075	-27.4389
11.1	2	-169.987	-39.2866
11.2	0	-100.777	-39.8445
11.2	1	-146.264	-27.7426
11.2	2	-170.379	-39.313
11.3	0	-100.516	-39.8405
11.3	1	-146.452	-28.0464
11.3	2	-170.647	-39.144
11.4	0	-100.411	-40.163
11.4	1	-146.387	-28.2843
11.4	2	-170.901	-38.9519
11.5	0	-100.306	-40.4855
11.5	1	-146.172	-28.4833
11.5	2	-171.155	-38.7598
11.6	0	-100.273	-40.6973
11.6	1	-145.958	-28.6824
11.6	2	-171.072	-38.6671
11.7	0	-100.472	-40.55
