DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.480804	48	0	3	2	1	1	2	0	2126	28	0	24.0219 	0	0.00598801
DL	0.482786	48	2	3	1	1	1	1	0	1717	24	0	19.5468	0	0
DL	0.482804	48	2	3	2	1	1	2	0	1946	26	0	24.0203	0	0
DL	0.482821	48	2	3	3	1	1	3	0	1946	26	0	21.656	0	0
UL	0.490786	49	0	3	1	1	1	1	0	1831	25	0	19.7049 	0	0
UL	0.490804	49	0	3	2	1	1	2	0	2126	28	0	23.7498 	0	0.0184849
DL	0.492786	49	2	3	1	1	1	1	0	1717	24	0	19.7016	0	0
DL	0.492804	49	2	3	2	1	1	2	0	2126	28	0	23.8557	0	0.0184849
DL	0.492821	49	2	3	3	1	1	3	0	1946	26	0	21.6486	0	0
UL	0.500786	50	0	3	1	1	1	1	0	1831	25	0	19.6618 	0	0
UL	0.500804	50	0	3	2	1	1	2	0	2038	27	0	23.7677 	0	0
DL	0.502786	50	2	3	1	1	1	1	0	1717	24	0	19.6585	0	0
DL	0.502804	50	2	3	2	1	1	2	0	1946	26	0	23.757	0	0
DL	0.502821	50	2	3	3	1	1	3	0	1946	26	0	21.7685	0	0
UL	0.510786	51	0	3	1	1	1	1	0	1831	25	0	19.6735 	0	0
UL	0.510804	51	0	3	2	1	1	2	0	2038	27	0	23.5908 	0	0
DL	0.512786	51	2	3	1	1	1	1	0	1717	24	0	19.5522	0	0
DL	0.512804	51	2	3	2	1	1	2	0	1946	26	0	23.7524	0	0
DL	0.512821	51	2	3	3	1	1	3	0	1946	26	0	21.6616	0	0
UL	0.520786	52	0	3	1	1	1	1	0	1831	25	0	19.4653 	0	0
UL	0.520804	52	0	3	2	1	1	2	0	2038	27	0	23.7103 	0	0
DL	0.522786	52	2	3	1	1	1	1	0	1717	24	0	19.4896	0	0
DL	0.522804	52	2	3	2	1	1	2	0	1946	26	0	23.7929	0	0
DL	0.522821	52	2	3	3	1	1	3	0	1946	26	0	21.5148	0	0
UL	0.530786	53	0	3	1	1	1	1	0	1831	25	0	19.6035 	0	0
UL	0.530804	53	0	3	2	1	1	2	0	2038	27	0	23.9155 	0	0
DL	0.532786	53	2	3	1	1	1	1	0	1717	24	0	19.5804	0	0
DL	0.532804	53	2	3	2	1	1	2	0	1946	26	0	23.9553	0	0
DL	0.532821	53	2	3	3	1	1	3	0	1946	26	0	21.3854	0	0
UL	0.540786	54	0	3	1	1	1	1	0	1831	25	0	19.6135 	0	0
UL	0.540804	54	0	3	2	1	1	2	0	2038	27	0	23.9281 	0	0
DL	0.542786	54	2	3	1	1	1	1	0	1717	24	0	19.5193	0	0
DL	0.542804	54	2	3	2	1	1	2	0	1946	26	0	23.8651	0	0
DL	0.542821	54	2	3	3	1	1	3	0	1946	26	0	21.2342	0	0
UL	0.550786	55	0	3	1	1	1	1	0	1831	25	0	19.5375 	0	0
UL	0.550804	55	0	3	2	1	1	2	0	2038	27	0	23.7906 	0	0
DL	0.552786	55	2	3	1	1	1	1	0	1717	24	0	19.5943	0	0
DL	0.552804	55	2	3	2	1	1	2	0	1946	26	0	23.802	0	0
DL	0.552821	55	2	3	3	1	1	3	0	1946	26	0	21.3619	0	0
UL	0.560786	56	0	3	1	1	1	1	0	1831	25	0	19.6548 	0	0
UL	0.560804	56	0	3	2	1	1	2	0	2038	27	0	23.6952 	0	0
DL	0.562786	56	2	3	1	1	1	1	0	1717	24	0	19.7002	0	0
DL	0.562804	56	2	3	2	1	1	2	0	1946	26	0	23.6861	0	0
DL	0.562821	56	2	3	3	1	1	3	0	1946	26	0	21.4002	0	0
UL	0.570786	57	0	3	1	1	1	1	0	1831	25	0	19.6718 	0	0
UL	0.570804	57	0	3	2	1	1	2	0	2038	27	0	23.5601 	0	0
DL	0.572786	57	2	3	1	1	1	1	0	1717	24	0	19.7112	0	0
DL	0.572804	57	2	3	2	1	1	2	0	1946	26	0	23.5646	0	0
DL	0.572821	57	2	3	3	1	1	3	0	1946	26	0	21.4799	0	0
UL	0.580786	58	0	3	1	1	1	1	0	1831	25	0	19.6558 	0	0
UL	0.580804	58	0	3	2	1	1	2	0	2038	27	0	23.3654 	0	0
DL	0.582786	58	2	3	1	1	1	1	0	1717	24	0	19.5706	0	0
DL	0.582804	58	2	3	2	1	1	2	0	1946	26	0	23.3341	0	0
DL	0.582821	58	2	3	3	1	1	3	0	1946	26	0	21.3387	0	0
UL	0.590786	59	0	3	1	1	1	1	0	1831	25	0	19.6505 	0	0
UL	0.590804	59	0	3	2	1	1	2	0	2038	27	0	23.3738 	0	0
DL	0.592786	59	2	3	1	1	1	1	0	1717	24	0	19.5263	0	0
